"","ID.","Habitat","ResDimension","ConDimension","Model","AIC","BIC"
"97",39876,1,2,2,"PowFit",-68.2542378575359,-68.8789594498517
"98",39876,1,2,2,"QuaFit",-67.9084383653766,-68.7414004884644
"99",39876,1,2,2,"GenFit",-41.743027487161,-42.5759896102488
"100",39876,1,2,2,"CubFit",-67.6467724159729,-68.6879750698327
"101",39877,1,2,2,"PowFit",-71.3607978714085,-71.9855194637243
"102",39877,1,2,2,"QuaFit",-72.4822951794826,-73.3152573025704
"103",39877,1,2,2,"GenFit",-73.6847649959707,-74.5177271190585
"104",39877,1,2,2,"CubFit",-73.7763694402564,-74.8175720941161
"105",39878,1,2,2,"PowFit",-101.217587553599,-101.842309145915
"106",39878,1,2,2,"QuaFit",-99.6455053571089,-100.478467480197
"107",39878,1,2,2,"GenFit",-95.3651631625659,-96.1981252856537
"108",39878,1,2,2,"CubFit",-97.6752669165006,-98.7164695703604
"109",39879,1,2,2,"PowFit",-95.9356418107943,-96.5603634031101
"110",39879,1,2,2,"QuaFit",-88.7863884691598,-89.6193505922476
"111",39879,1,2,2,"GenFit",-94.4980663578515,-95.3310284809393
"112",39879,1,2,2,"CubFit",-88.7645145131312,-89.8057171669909
"113",39880,1,2,2,"PowFit",-62.1747061408787,-62.7994277331945
"114",39880,1,2,2,"QuaFit",-76.0058749603711,-76.8388370834589
"115",39880,1,2,2,"GenFit",NA,NA
"116",39880,1,2,2,"CubFit",-75.1380939572383,-76.179296611098
"117",39881,1,2,2,"PowFit",-83.6676667836754,-84.2923883759912
"118",39881,1,2,2,"QuaFit",-79.554057413983,-80.3870195370708
"119",39881,1,2,2,"GenFit",NA,NA
"120",39881,1,2,2,"CubFit",-80.3272952593073,-81.3684979131671
"121",39882,1,2,2,"PowFit",-80.2787008060514,-80.9034223983673
"122",39882,1,2,2,"QuaFit",-75.7139572729331,-76.5469193960209
"123",39882,1,2,2,"GenFit",NA,NA
"124",39882,1,2,2,"CubFit",-76.087854134142,-77.1290567880017
"125",39883,3,1,1,"PowFit",-846.264560007171,-840.528490990887
"126",39883,3,1,1,"QuaFit",-875.696012735725,-868.047920714012
"127",39883,3,1,1,"GenFit",-864.080750976369,-856.432658954657
"128",39883,3,1,1,"CubFit",-880.278870969078,-870.718755941937
"129",39885,3,1,1,"PowFit",-107.345447236829,-107.970168829145
"130",39885,3,1,1,"QuaFit",-104.204800765073,-105.037762888161
"131",39885,3,1,1,"GenFit",-106.3666811026,-107.199643225687
"132",39885,3,1,1,"CubFit",-107.050388564011,-108.091591217871
"133",39890,1,2,1,"PowFit",-89.8455805387583,-90.4703021310742
"134",39890,1,2,1,"QuaFit",-92.3112048069109,-93.1441669299986
"135",39890,1,2,1,"GenFit",-90.3225908891054,-91.1555530121931
"136",39890,1,2,1,"CubFit",-90.8258664466186,-91.8670691004783
"137",39891,1,2,1,"PowFit",-89.859600999418,-90.4843225917338
"138",39891,1,2,1,"QuaFit",-85.0598121946328,-85.8927743177206
"139",39891,1,2,1,"GenFit",-87.8646873707762,-88.697649493864
"140",39891,1,2,1,"CubFit",-91.3697750873797,-92.4109777412394
"141",39892,3,1,1,"PowFit",-212.582966178303,-209.749649240804
"142",39892,3,1,1,"QuaFit",-278.462397104938,-274.684641188272
"143",39892,3,1,1,"GenFit",NA,NA
"144",39892,3,1,1,"CubFit",-284.668498697459,-279.946303801627
"145",39893,3,1,1,"PowFit",-274.796537504048,-272.12542223036
"146",39893,3,1,1,"QuaFit",-284.930128060856,-281.368641029271
"147",39893,3,1,1,"GenFit",-284.986703651797,-281.425216620213
"148",39893,3,1,1,"CubFit",-284.08897955153,-279.637120762049
"149",39894,3,1,1,"PowFit",-111.196443699041,-111.358713251875
"150",39894,3,1,1,"QuaFit",-100.8800642023,-101.096423606079
"151",39894,3,1,1,"GenFit",-109.657584968023,-109.873944371802
"152",39894,3,1,1,"CubFit",-106.166827644469,-106.437276899192
"153",39895,1,2,2,"PowFit",-119.559721016727,-119.321396391687
"154",39895,1,2,2,"QuaFit",-116.561084326241,-116.243318159521
"155",39895,1,2,2,"GenFit",-117.581753513512,-117.263987346793
"156",39895,1,2,2,"CubFit",-119.572482369473,-119.175274661074
"157",39896,1,2,2,"PowFit",-117.492012654557,-117.253688029517
"158",39896,1,2,2,"QuaFit",-120.07613671274,-119.758370546021
"159",39896,1,2,2,"GenFit",-119.424057976046,-119.106291809327
"160",39896,1,2,2,"CubFit",-118.19697205686,-117.799764348461
"161",39897,1,2,2,"PowFit",-121.880051944544,-121.641727319504
"162",39897,1,2,2,"QuaFit",-120.609193835047,-120.291427668328
"163",39897,1,2,2,"GenFit",-119.976230778933,-119.658464612214
"164",39897,1,2,2,"CubFit",-119.104516592957,-118.707308884558
"165",39898,1,2,2,"PowFit",-131.575538723315,-131.337214098276
"166",39898,1,2,2,"QuaFit",-142.048161062696,-141.730394895976
"167",39898,1,2,2,"GenFit",-141.912740538931,-141.594974372212
"168",39898,1,2,2,"CubFit",-140.952073030061,-140.554865321662
"169",39899,1,2,2,"PowFit",-119.996686216352,-119.758361591313
"170",39899,1,2,2,"QuaFit",-128.760538612602,-128.442772445883
"171",39899,1,2,2,"GenFit",-124.831453909212,-124.513687742493
"172",39899,1,2,2,"CubFit",-126.869045007045,-126.471837298646
"173",39900,1,2,2,"PowFit",-130.569741095274,-130.331416470235
"174",39900,1,2,2,"QuaFit",-129.251461850527,-128.933695683808
"175",39900,1,2,2,"GenFit",-83.8963407364994,-83.57857456978
"176",39900,1,2,2,"CubFit",-131.843281854701,-131.446074146302
"177",39901,1,2,2,"PowFit",-106.634966782023,-106.396642156984
"178",39901,1,2,2,"QuaFit",-121.980073717289,-121.66230755057
"179",39901,1,2,2,"GenFit",-111.551786270375,-111.234020103656
"180",39901,1,2,2,"CubFit",-121.446387160297,-121.049179451897
"181",39902,1,2,2,"PowFit",-113.741026678488,-113.502702053448
"182",39902,1,2,2,"QuaFit",-111.347070610787,-111.029304444067
"183",39902,1,2,2,"GenFit",-118.686733657431,-118.368967490712
"184",39902,1,2,2,"CubFit",-109.523512025019,-109.12630431662
"185",39903,1,2,2,"PowFit",-110.773957472686,-110.535632847647
"186",39903,1,2,2,"QuaFit",-108.487362183602,-108.169596016883
"187",39903,1,2,2,"GenFit",-110.270843038776,-109.953076872057
"188",39903,1,2,2,"CubFit",-106.692609446825,-106.295401738426
"189",39904,1,2,2,"PowFit",-121.930460379395,-121.692135754356
"190",39904,1,2,2,"QuaFit",-125.381141877445,-125.063375710726
"191",39904,1,2,2,"GenFit",-128.683956815258,-128.366190648539
"192",39904,1,2,2,"CubFit",-123.397255429577,-123.000047721177
"193",39905,1,2,2,"PowFit",-120.461438822407,-120.223114197367
"194",39905,1,2,2,"QuaFit",-118.880446598166,-118.562680431447
"195",39905,1,2,2,"GenFit",-119.471611200133,-119.153845033413
"196",39905,1,2,2,"CubFit",-117.088385289705,-116.691177581306
"197",39906,1,2,2,"PowFit",-130.222756637207,-129.984432012168
"198",39906,1,2,2,"QuaFit",-126.033286426959,-125.71552026024
"199",39906,1,2,2,"GenFit",-128.882897926829,-128.56513176011
"200",39906,1,2,2,"CubFit",-125.723250874261,-125.326043165861
"201",39907,3,1,1,"PowFit",-147.28987511918,-144.016747759105
"202",39907,3,1,1,"QuaFit",-184.01010268018,-179.645932866747
"203",39907,3,1,1,"GenFit",NA,NA
"204",39907,3,1,1,"CubFit",-185.813129947064,-180.357917680273
"205",39908,3,1,1,"PowFit",-155.26116649292,-155.02284186788
"206",39908,3,1,1,"QuaFit",-143.170160407701,-142.852394240981
"207",39908,3,1,1,"GenFit",NA,NA
"208",39908,3,1,1,"CubFit",-146.154852200325,-145.757644491926
"209",39909,3,1,1,"PowFit",-145.548842177861,-145.310517552822
"210",39909,3,1,1,"QuaFit",-139.795063650391,-139.477297483672
"211",39909,3,1,1,"GenFit",-100.546931674461,-100.229165507741
"212",39909,3,1,1,"CubFit",-145.121941061591,-144.724733353192
"213",39910,1,2,2,"PowFit",815.328660528594,820.395298890936
"214",39910,1,2,2,"QuaFit",764.129391245162,770.884909061617
"215",39910,1,2,2,"GenFit",763.493857629812,770.249375446268
"216",39910,1,2,2,"CubFit",763.882082239875,772.326479510445
"217",39911,1,2,2,"PowFit",817.211420010428,822.424428865278
"218",39911,1,2,2,"QuaFit",776.867019037184,783.817697510318
"219",39911,1,2,2,"GenFit",849.339200379515,856.289878852649
"220",39911,1,2,2,"CubFit",778.332425021169,787.020773112585
"221",39912,1,2,2,"PowFit",-83.2565717487045,-83.018247123665
"222",39912,1,2,2,"QuaFit",-99.2707204579906,-98.9529542912713
"223",39912,1,2,2,"GenFit",NA,NA
"224",39912,1,2,2,"CubFit",-125.961448916952,-125.564241208553
"225",39914,1,2,2,"PowFit",53.3872713197175,54.5809571381126
"226",39914,1,2,2,"QuaFit",47.7374664437837,49.3290475349772
"227",39914,1,2,2,"GenFit",78.1327318567314,79.7243129479249
"228",39914,1,2,2,"CubFit",49.7326677795561,51.7221441435479
"229",39915,3,1,1,"PowFit",-78.1965567354478,-76.7418367860838
"230",39915,3,1,1,"QuaFit",-71.9836439506832,-70.0440173515312
"231",39915,3,1,1,"GenFit",-32.5286580046183,-30.5890314054663
"232",39915,3,1,1,"CubFit",-71.725748574489,-69.301215325549
"233",39916,3,1,1,"PowFit",-27.0821365788634,-27.2444061316974
"234",39916,3,1,1,"QuaFit",-18.7100062746151,-18.9263656783939
"235",39916,3,1,1,"GenFit",-15.6276878048855,-15.8440472086643
"236",39916,3,1,1,"CubFit",-33.8079571375014,-34.0784063922249
"237",39918,3,1,1,"PowFit",-43.0121504703164,-42.4204767383078
"238",39918,3,1,1,"QuaFit",-83.9744060452292,-83.1855077358843
"239",39918,3,1,1,"GenFit",NA,NA
"240",39918,3,1,1,"CubFit",-82.0777663267102,-81.0916434400291
"241",39924,3,1,1,"PowFit",-145.412262860792,-146.036984453108
"242",39924,3,1,1,"QuaFit",-141.963220231393,-142.796182354481
"243",39924,3,1,1,"GenFit",-157.77838462549,-158.611346748578
"244",39924,3,1,1,"CubFit",-155.678863132124,-156.720065785983
"245",39925,3,3,1,"PowFit",2.17366326780404,6.92422008317237
"246",39925,3,3,1,"QuaFit",-57.8528305514809,-51.5187547976565
"247",39925,3,3,1,"GenFit",4.17366345118103,10.5077392050055
"248",39925,3,3,1,"CubFit",-58.6265495607623,-50.7089548684818
"249",39931,3,3,1,"PowFit",-116.943435073525,-117.568156665841
"250",39931,3,3,1,"QuaFit",-114.491938852951,-115.324900976039
"251",39931,3,3,1,"GenFit",NA,NA
"252",39931,3,3,1,"CubFit",-117.30468333508,-118.34588598894
"253",39932,3,3,1,"PowFit",-64.4368518625536,-59.9473291781542
"254",39932,3,3,1,"QuaFit",-67.1771038520867,-61.1910736062208
"255",39932,3,3,1,"GenFit",-67.5307418959035,-61.5447116500376
"256",39932,3,3,1,"CubFit",-68.9603455037634,-61.477807696431
"257",39933,3,3,1,"PowFit",-252.638838858488,-250.13919882632
"258",39933,3,3,1,"QuaFit",-246.816514496867,-243.483661120643
"259",39933,3,3,1,"GenFit",-251.517757536025,-248.1849041598
"260",39933,3,3,1,"CubFit",-251.073186900368,-246.907120180087
"261",39934,2,2,1,"PowFit",229.372907780226,232.044023053915
"262",39934,2,2,1,"QuaFit",241.627313155216,245.188800186801
"263",39934,2,2,1,"GenFit",230.020874303129,233.582361334713
"264",39934,2,2,1,"CubFit",228.2174460709,232.669304860381
"265",39935,3,1,1,"PowFit",-141.135874401521,-141.298143954355
"266",39935,3,1,1,"QuaFit",-137.832954065369,-138.049313469148
"267",39935,3,1,1,"GenFit",-144.022661965496,-144.239021369275
"268",39935,3,1,1,"CubFit",-142.41301639092,-142.683465645643
"269",39936,3,1,1,"PowFit",-94.6518427109446,-95.2765643032605
"270",39936,3,1,1,"QuaFit",-92.6025591500313,-93.4355212731191
"271",39936,3,1,1,"GenFit",NA,NA
"272",39936,3,1,1,"CubFit",-96.2159544564801,-97.2571571103398
"273",39939,3,3,1,"PowFit",-296.852916425278,-292.455708716879
"274",39939,3,3,1,"QuaFit",-340.542466747142,-334.679523135943
"275",39939,3,3,1,"GenFit",NA,NA
"276",39939,3,3,1,"CubFit",-338.630530197125,-331.301850683127
"277",39940,2,3,1,"PowFit",-1418.87137915722,-1411.7252992532
"278",39940,2,3,1,"QuaFit",-1389.25226689803,-1379.72416035934
"279",39940,2,3,1,"GenFit",NA,NA
"280",39940,2,3,1,"CubFit",-1402.64595411506,-1390.73582094169
"281",39941,2,2,2,"PowFit",-62.5701307413863,-61.9784570093777
"282",39941,2,2,2,"QuaFit",-80.8131748873377,-80.0242765779928
"283",39941,2,2,2,"GenFit",NA,NA
"284",39941,2,2,2,"CubFit",-80.6907922579046,-79.7046693712235
"285",39942,2,2,2,"PowFit",-122.295635900636,-119.022508540561
"286",39942,2,2,2,"QuaFit",-122.206455256898,-117.842285443465
"287",39942,2,2,2,"GenFit",-120.463967510624,-116.099797697191
"288",39942,2,2,2,"CubFit",-120.613006879856,-115.157794613064
"289",39943,2,2,2,"PowFit",-18.0068351894293,-16.5521152400653
"290",39943,2,2,2,"QuaFit",-56.9387090133689,-54.9990824142169
"291",39943,2,2,2,"GenFit",NA,NA
"292",39943,2,2,2,"CubFit",-55.2101302482822,-52.7855969993422
"293",39944,2,2,2,"PowFit",-8.03510279565661,-4.50094130461278
"294",39944,2,2,2,"QuaFit",-48.7770276543349,-44.0648123329431
"295",39944,2,2,2,"GenFit",-6.05568270946215,-1.34346738807037
