"","ID","a","h","minAIC","minBIC","AIC","BIC","Habitat","Res_Dim","Con_Dim","mecphe"
"1","39835","19.9980943971367","4.35280835894763","-100.71673107138","-100.398964904661","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"2","39836","0.640775696318746","9.89871110628121","-191.851427200844","-190.338501735874","CubFit","CubFit","Freshwater","2D","2D","Phenomenological"
"3","39837","2.99879923813963","7.27304839045639","-168.961156544781","-167.750816172805","QuaFit","QuaFit","Freshwater","2D","2D","Phenomenological"
"4","39838","0.562809664227572","11.2376352353383","-201.404303377441","-200.193963005465","QuaFit","QuaFit","Freshwater","2D","2D","Phenomenological"
"5","39839","2.26461907096677","12.5511474870579","-194.139299947653","-192.626374482682","CubFit","CubFit","Freshwater","2D","2D","Phenomenological"
"6","39840","-12.485623559064","7.18526052791121","-12.3871896195141","-7.63663280414578","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"7","39841","12.7020574105044","18.550417874228","-33.6114302618891","-28.4707140617762","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"8","39842","0.149196419167893","5.99662528441754","-0.0557007596057559","6.04974133885889","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"9","39843","3.30118690059204","8.94765341983188","-25.2298286767393","-21.2332151462137","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"10","39844","5.87440220389123","1.91314030400466","-25.4279158730466","-20.2149070181965","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"11","39845","4.76642573460773","1.02216165337702","-14.4449927072107","-10.9108312161669","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"12","39846","15.5674596740433","-0.183569905215266","-11.4937749255651","-7.04865822080499","QuaFit","PowFit","Freshwater","3D","3D","Phenomenological"
"13","39847","7.3853488599236","15.0118337000512","-32.4441979730312","-25.2742619506055","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"14","39848","12.4793817446247","4.31142047777687","-10.4581204331896","-6.80149295858498","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"15","39849","-14.3321625895213","13.0212308200451","-14.1858818384856","-10.0077920875919","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"16","39850","1.76913929094967","0.100060830191862","-29.2946271008978","-24.5724322050656","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"17","39868","0.40426497643846","0.136202083748084","-84.2872539011432","-85.120216024231","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"18","39869","8.78622424525665","6.62493111414035","-72.2460312206338","-73.2872338744935","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"19","39870","-0.797356066172637","15.331563274629","-84.117946869627","-84.9509089927147","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"20","39871","4.61919183894841","0.467515541697747","-73.4146046689943","-74.4558073228541","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"21","39873","0.467166415913496","2.05225467029104","-94.7894866390939","-95.6224487621817","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"22","39874","4.47801532712593","0.658368101991216","-86.3058757321043","-86.9305973244201","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"23","39875","16.0093859232503","14.2259253272868","-73.5269158215161","-74.5681184753758","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"24","39876","-3.43788692264806","6.54026679500825","-67.9084383653766","-68.7414004884644","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"25","39877","7.87062343654871","11.3225217964613","-73.7763694402564","-74.8175720941161","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"26","39878","-9.65357097180954","-0.516864829775039","-101.217587553599","-101.842309145914","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"27","39879","-18.1239329273085","-1.08028913755124","-95.9356418107624","-96.5603634030783","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"28","39880","-14.0630320742936","-0.110944349768926","-79.9809651145895","-80.6056867069054","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"29","39881","-0.452698420480235","-0.312624564604819","-84.4838373239951","-85.3167994470829","GenFit","GenFit","Freshwater","3D","3D","Mechanistic"
"30","39882","-0.565793734183416","-2.19805966447931","-80.2787008060524","-80.9034223983683","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"31","39883","16.3165477766542","-0.288025441598528","-880.278870969078","-870.718755941937","CubFit","CubFit","Terrestrial","2D","2D","Phenomenological"
"32","39885","9.24173400945887","-12.9056545979665","-107.345447236822","-108.091591217871","PowFit","CubFit","Terrestrial","2D","2D","Mechanistic"
"33","39890","-0.223559413460656","0.212278515009701","-92.3112048069109","-93.1441669299986","QuaFit","QuaFit","Freshwater","3D","2D","Phenomenological"
"34","39891","-6.72639814083879","-1.33206201960069","-91.3697750873797","-92.4109777412394","CubFit","CubFit","Freshwater","3D","2D","Phenomenological"
"35","39892","-5.94285244387561","-0.950233961157753","-284.668498697459","-279.946303801627","CubFit","CubFit","Terrestrial","2D","2D","Phenomenological"
"36","39893","-0.552240826544039","3.61193855829429","-284.930128060856","-281.368641029271","QuaFit","QuaFit","Terrestrial","2D","2D","Phenomenological"
"37","39894","-3.22999083947303","-3.23152133504314","-111.196443699041","-111.358713251875","PowFit","PowFit","Terrestrial","2D","2D","Mechanistic"
"38","39895","0.73042119495615","-1.62992759962578","-119.572482369473","-119.321396391663","CubFit","PowFit","Freshwater","3D","3D","Phenomenological"
