"","ID","a","h","minAIC","minBIC","AIC","BIC","Habitat","Res_Dim","Con_Dim","mecphe"
"45","39902","13.9416753521118","-4.73840008822297","-116.247759454655","-115.929993287935","GenFit","GenFit","Freshwater","3D","3D","Mechanistic"
"46","39903","0.598862928341164","1.07893854711529","-110.773957467126","-110.535632842087","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"47","39904","-1.61323294340739","-0.667282041573491","-128.683956815252","-128.366190648532","GenFit","GenFit","Freshwater","3D","3D","Mechanistic"
"48","39905","-6.39703501215443","-0.563827202301438","-120.461438822412","-120.223114197372","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"49","39906","-13.6829200589497","-4.01464007803983","-130.222756637212","-129.984432012172","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"50","39907","14.8906630798425","6.32048648978973","-185.813129947064","-180.357917680273","CubFit","CubFit","Terrestrial","2D","2D","Phenomenological"
"51","39908","-13.4414969135811","-2.67587166248209","-155.907815362361","-155.590049195642","GenFit","GenFit","Terrestrial","2D","2D","Mechanistic"
"52","39909","15.4545220398814","-3.50877312992626","-145.548842177864","-145.310517552824","PowFit","PowFit","Terrestrial","2D","2D","Mechanistic"
"53","39910","-6.49234113041362","21140.4833936796","763.882082239875","770.884909061617","CubFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"54","39911","7.39602404456505","14581.8382564548","776.867019037184","783.817697510318","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"55","39912","-21.5299793493779","2.34863567082373","-125.961448916952","-125.564241208553","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"56","39914","1.11822658956134","5.42827887225434","41.8370007529689","43.0306865713641","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"57","39915","12.0021959474328","4.0732444567485","-78.1965567153527","-76.7418367659887","PowFit","PowFit","Terrestrial","2D","2D","Mechanistic"
"58","39916","7.58711739114478","4.00525771763054","-50.2097614330906","-50.4261208368693","GenFit","GenFit","Terrestrial","2D","2D","Mechanistic"
"59","39918","-12.9366988629973","2.27667385924269","-83.9744060452292","-83.1855077358843","QuaFit","QuaFit","Terrestrial","2D","2D","Phenomenological"
"60","39924","-3.03018267092242","4.78577257469228","-157.77838462565","-158.611346748738","GenFit","GenFit","Terrestrial","2D","2D","Mechanistic"
"61","39925","-18.3125081129471","2.81401661707809","-58.6265495607623","-51.5187547976565","CubFit","QuaFit","Terrestrial","sessile","2D","Phenomenological"
"62","39931","11.7178551684563","-1.07557640184234","-117.30468333508","-118.34588598894","CubFit","CubFit","Terrestrial","sessile","2D","Phenomenological"
"63","39932","1.99409419683118","-2.28388986533472","-68.9603455037634","-61.477807696431","CubFit","CubFit","Terrestrial","sessile","2D","Phenomenological"
"64","39933","17.6708679045181","3.66164112097405","-252.638838858488","-250.13919882632","PowFit","PowFit","Terrestrial","sessile","2D","Mechanistic"
"65","39934","32.6681950794961","1261.96629043683","228.2174460709","232.044023053916","CubFit","PowFit","Marine","3D","2D","Phenomenological"
"66","39935","-9.0502598022468","-6.3173539521011","-144.022661962361","-144.23902136614","GenFit","GenFit","Terrestrial","2D","2D","Mechanistic"
"67","39936","4.40230134408421","2.07103490242773","-96.2159544564801","-97.2571571103398","CubFit","CubFit","Terrestrial","2D","2D","Phenomenological"
"68","39939","5.65207605994686","3.13864301815927","-340.542466747142","-334.679523135943","QuaFit","QuaFit","Terrestrial","sessile","2D","Phenomenological"
"69","39940","8.35701044854194","-0.731012840897766","-1418.8713791578","-1411.72529925378","PowFit","PowFit","Marine","sessile","2D","Mechanistic"
"70","39941","-0.971720656525676","0.638906147062301","-81.8906638976434","-81.1017655882985","GenFit","GenFit","Marine","3D","3D","Mechanistic"
"71","39942","20.2627264332241","-0.175835120684003","-122.295635901083","-119.022508541008","PowFit","PowFit","Marine","3D","3D","Mechanistic"
"72","39943","14.0259787675412","12.5045517016147","-58.1522808785834","-56.2126542794314","GenFit","GenFit","Marine","3D","3D","Mechanistic"
"73","39944","13.8369745173672","13.6922768640976","-73.807955177698","-67.9176860259583","CubFit","CubFit","Marine","3D","3D","Phenomenological"
"74","39947","0.459656680283523","-3.59294158189266","-227.881993366043","-226.688307547648","PowFit","PowFit","Terrestrial","2D","3D","Mechanistic"
"75","39951","-0.39022688708602","-10.168812769499","-133.853590657217","-134.894793311077","CubFit","CubFit","Freshwater","2D","2D","Phenomenological"
"76","39952","-5.03246088355053","-7.28035796352285","-138.433090764529","-139.474293418389","CubFit","CubFit","Freshwater","2D","2D","Phenomenological"
"77","39954","-6.50657625296994","-6.21176085748012","-117.45233092735","-118.077052519666","PowFit","PowFit","Freshwater","2D","2D","Mechanistic"
"78","39955","-4.5309331171491","-0.421738670383452","-123.090038806463","-123.252308359297","PowFit","PowFit","Terrestrial","2D","2D","Mechanistic"
"79","39956","4.70904125922216","-3.38562555173412","-121.531618386359","-121.802067641083","CubFit","CubFit","Terrestrial","2D","2D","Phenomenological"
"80","39957","14.1969883470549","-1.29068604249688","-117.511748741536","-117.67401829437","PowFit","PowFit","Terrestrial","2D","2D","Mechanistic"
"81","39958","3.23784407915597","2.75627049055525","-129.66784266559","-129.938291920313","CubFit","CubFit","Terrestrial","2D","2D","Phenomenological"
"82","39959","0.638301258024544","-4.56362470523415","-118.681584281562","-118.843853834396","PowFit","PowFit","Terrestrial","2D","2D","Mechanistic"
"83","39960","-3.92180841755903","2.0060664146711","-134.6386700019","-135.67987265576","CubFit","CubFit","Marine","2D","2D","Phenomenological"
"84","39961","-13.0488864639739","0.717604341717387","-145.093113911503","-145.92607603459","GenFit","GenFit","Marine","2D","2D","Mechanistic"
"85","39962","-2.1941131231718","-0.445095269725238","-69.9287046525614","-70.9699073064211","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"86","39963","-1.39995315594411","10.7589767857841","-103.919428812887","-103.011673533905","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"87","39965","-11.2335109818601","3.63783874222257","-18.6452494648282","-17.8563511554834","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"88","39966","-14.6878253374859","2.77872421073416","-21.9633925034135","-20.7530521314373","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"89","39972","0.0620578637539928","6.52158677079071","7.78667556579624","9.70384755464202","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"90","39973","181.287739208315","42.6650218432087","35.4341227062258","34.601160583138","GenFit","GenFit","Freshwater","3D","3D","Mechanistic"
"91","39974","0.0539529460200544","1341.46186948228","82.9919272955401","82.1589651724523","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"92","39975","-6.29445754529636","850.037768181639","68.3901874319701","67.3489847781103","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"93","39976","-0.268962070443668","2599.15340455718","108.717684719001","108.447235464277","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"94","39977","-0.180280773543491","0.781301885981996","-38.4265498657195","-38.6429092694983","GenFit","GenFit","Freshwater","3D","3D","Mechanistic"
"95","39978","0.528753333388235","5.75763076451538","-14.5963362464169","-14.8126956501956","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"96","39979","0.0490541841065613","-3.23490976829327","-30.6909620707938","-31.5239241938816","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"97","39980","8.60267153279806","0.700387492444717","-12.1656525384949","-12.9986146615827","GenFit","GenFit","Freshwater","3D","3D","Mechanistic"
"98","39981","4.81846004710607","-4.70920416974368","-127.445457776921","-128.070179369237","PowFit","PowFit","Terrestrial","sessile","2D","Mechanistic"
"99","39982","2.61752220660379","6.92695841912341","-69.9424705281475","-69.1535722188026","QuaFit","QuaFit","Marine","3D","3D","Phenomenological"
"100","39983","2.66567677458593","-11.5228471727971","-295.983782766338","-294.790096947943","PowFit","PowFit","Terrestrial","2D","2D","Mechanistic"
"101","39984","-16.6365727407527","-1.46826997985259","-111.969597709987","-113.010800363847","CubFit","CubFit","Terrestrial","2D","2D","Phenomenological"
"102","39987","-1.57561461172873","2.81281258800418","-147.355564548511","-142.90370575903","CubFit","CubFit","Marine","3D","3D","Phenomenological"
"103","39988","1.33402424717035","5.90078685697045","-92.2907671887413","-88.1126774378476","QuaFit","QuaFit","Marine","3D","3D","Phenomenological"
"104","39989","-4.90003194875555","-6.49204573796135","-163.065504495885","-162.747738329166","QuaFit","QuaFit","Terrestrial","2D","2D","Phenomenological"
