"","ID.","Habitat","ResDimension","ConDimension","Model","AIC","BIC"
"39",39843,1,2,2,"GenFit",-23.8755986797896,-18.5467806390888
"40",39843,1,2,2,"CubFit",-20.538195438512,-13.877172887636
"41",39844,1,2,2,"PowFit",-25.42791587305,-20.2149070181999
"42",39844,1,2,2,"QuaFit",-20.973728169713,-14.0230496965795
"43",39844,1,2,2,"GenFit",-23.6797498824711,-16.7290714093376
"44",39844,1,2,2,"CubFit",-22.755850833576,-14.0675027421592
"45",39845,1,2,2,"PowFit",-14.4449927072159,-10.9108312161721
"46",39845,1,2,2,"QuaFit",-11.7422496350324,-7.03003431364058
"47",39845,1,2,2,"GenFit",-12.5577150399637,-7.84549971857187
"48",39845,1,2,2,"CubFit",-9.9844225660767,-4.09415341433697
"49",39846,1,2,2,"PowFit",-10.4551408688667,-7.0486582210793
"50",39846,1,2,2,"QuaFit",-11.4937749255651,-6.95179806184854
"51",39846,1,2,2,"GenFit",27.6844683184621,32.2264451821787
"52",39846,1,2,2,"CubFit",-9.51065329139076,-3.83318221174501
"53",39847,1,2,2,"PowFit",-32.1939080033074,-27.8919463898519
"54",39847,1,2,2,"QuaFit",-29.0610539748323,-23.3251051568917
"55",39847,1,2,2,"GenFit",-30.239977464197,-24.5040286462564
"56",39847,1,2,2,"CubFit",-32.4441979730312,-25.2742619506055
"57",39848,1,2,2,"PowFit",-10.458120430939,-6.80149295633441
"58",39848,1,2,2,"QuaFit",-9.58489482029345,-4.70939152082065
"59",39848,1,2,2,"GenFit",-8.72205846586077,-3.84655516638796
"60",39848,1,2,2,"CubFit",-7.82929400989246,-1.73491488555146
"61",39849,1,2,2,"PowFit",-11.4063140595895,-8.27274674641921
"62",39849,1,2,2,"QuaFit",-14.1858818384856,-10.0077920875919
"63",39849,1,2,2,"GenFit",-2.26740066906603,1.91068908182766
"64",39849,1,2,2,"CubFit",-12.2764842756245,-7.05387208700737
"65",39850,1,2,2,"PowFit",-22.7857772772188,-19.9524603397195
"66",39850,1,2,2,"QuaFit",-23.905069133278,-20.1273132166123
"67",39850,1,2,2,"GenFit",-20.7859205640494,-17.0081646473836
"68",39850,1,2,2,"CubFit",-29.2946271008978,-24.5724322050656
"69",39868,1,2,2,"PowFit",-84.0843387750226,-84.7090603673385
"70",39868,1,2,2,"QuaFit",-84.2872539011432,-85.120216024231
"71",39868,1,2,2,"GenFit",NA,NA
"72",39868,1,2,2,"CubFit",-82.4208354598013,-83.4620381136611
"73",39869,1,2,2,"PowFit",-72.5769448091295,-73.2016664014454
"74",39869,1,2,2,"QuaFit",-69.0371303902385,-69.8700925133263
"75",39869,1,2,2,"GenFit",-68.9640876144225,-69.7970497375103
"76",39869,1,2,2,"CubFit",-72.2460312206338,-73.2872338744935
"77",39870,1,2,2,"PowFit",-82.6139240104903,-83.2386456028061
"78",39870,1,2,2,"QuaFit",-84.117946869627,-84.9509089927147
"79",39870,1,2,2,"GenFit",NA,NA
"80",39870,1,2,2,"CubFit",-82.1691291202759,-83.2103317741357
"81",39871,1,2,2,"PowFit",-68.148422094168,-68.7731436864839
"82",39871,1,2,2,"QuaFit",-64.8524330578981,-65.6853951809859
