"","ID","a","h","minAIC","minBIC","AIC","BIC","Habitat","Res_Dim","Con_Dim","mecphe"
"1","39835","10.03891141056","0.822012747132997","-100.71673107138","-100.398964904661","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"2","39836","3.45408839451048","-0.0165922776344093","-195.128782868223","-194.221027589241","PowFit","PowFit","Freshwater","2D","2D","Mechanistic"
"3","39837","-0.340168408625055","-2.54966400801946","-171.174772415863","-170.267017136881","PowFit","PowFit","Freshwater","2D","2D","Mechanistic"
"4","39838","2.87322994260921","-1.04669661307572","-203.459533559537","-202.551778280555","PowFit","PowFit","Freshwater","2D","2D","Mechanistic"
"5","39839","4.43435844043461","6.54948424163028","-194.139299947653","-192.626374482682","CubFit","CubFit","Freshwater","2D","2D","Phenomenological"
"6","39840","5.23007725068868","1.47149815458326","-12.3871896209637","-7.63663280559533","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"7","39841","0.480999009770127","5.7661662975298","-33.6114302616156","-28.4707140615027","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"8","39842","-7.46243698780956","8.38701359775181","-0.0557007596057559","6.04974133885889","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"9","39843","6.59735629999052","17.7723464930741","-25.2298286763944","-21.2332151458688","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"10","39844","-10.4787110168018","7.04987881661273","-25.4279158730513","-20.2149070182011","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"11","39845","3.63940800192694","3.21617685922522","-14.4449927071812","-10.9108312161373","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"12","39846","-4.75693958255503","0.0650024845853968","-11.4937749255651","-7.04865822569705","QuaFit","PowFit","Freshwater","3D","3D","Phenomenological"
"13","39847","3.55380878324626","11.6109594898181","-32.4441979730312","-27.8919463898482","CubFit","PowFit","Freshwater","3D","3D","Phenomenological"
"14","39848","7.65071759232577","5.51249214998691","-10.4581204332027","-6.80149295859809","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"15","39849","15.9948900157276","4.13845901636016","-14.1858818384856","-10.0077920875919","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"16","39850","-3.74259484120636","8.36884915197998","-29.2946271008978","-24.5724322050656","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"17","39868","13.9010556657526","-0.273557867200731","-84.2872539011432","-85.120216024231","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"18","39869","8.54000486528121","3.9888482057585","-72.2460312206338","-73.2872338744935","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"19","39870","-3.75912314385605","3.56969413756798","-84.117946869627","-84.9509089927147","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"20","39871","4.76069717293778","23.4846919599351","-73.4146046689943","-74.4558073228541","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"21","39873","12.6429260135102","-0.0981330820681003","-94.7894866390939","-95.6224487621817","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"22","39874","19.2347590918974","8.59843141024437","-85.4760077931611","-86.3089699162489","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"23","39875","-6.17265648188037","17.6135055313988","-73.5269158215161","-74.5681184753758","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"24","39876","10.7652761244716","-0.376192719179193","-68.2542378573724","-68.9322883497804","PowFit","GenFit","Freshwater","3D","3D","Mechanistic"
"25","39877","20.6814169938141","0.00226726706693888","-73.7763694402564","-74.8175720941161","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"26","39878","2.03423732418401","-4.12330861854892","-101.217587553599","-101.842309145915","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"27","39879","-1.93918853414022","-1.58003979466667","-95.9356418107927","-96.5603634031085","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"28","39880","-16.3386166660999","1.26486800521799","-76.0058749603711","-76.8388370834589","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"29","39881","-1.79767661588022","17.2340524748822","-80.3272952593073","-81.3684979131671","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"30","39882","3.60830975005267","4.01140718798641","-76.087854134142","-77.1290567880017","CubFit","CubFit","Freshwater","3D","3D","Phenomenological"
"31","39883","14.4959131991096","-2.21147074393603","-880.278870969078","-870.718755941937","CubFit","CubFit","Terrestrial","2D","2D","Phenomenological"
"32","39885","2.0107565003702","-6.17583331750379","-107.345447236824","-108.091591217871","PowFit","CubFit","Terrestrial","2D","2D","Mechanistic"
"33","39890","8.72230178598789","-2.38910798530814","-92.3112048069109","-93.1441669299986","QuaFit","QuaFit","Freshwater","3D","2D","Phenomenological"
"34","39891","-3.66950818066908","-1.22223416157508","-91.3697750873797","-92.4109777412394","CubFit","CubFit","Freshwater","3D","2D","Phenomenological"
"35","39892","11.0861488873344","3.99930148787867","-284.668498697459","-279.946303801627","CubFit","CubFit","Terrestrial","2D","2D","Phenomenological"
"36","39893","-2.90760879760772","-1.57018369552472","-284.930128060856","-281.368641029271","QuaFit","QuaFit","Terrestrial","2D","2D","Phenomenological"
"37","39894","-12.9823811778147","1.19953254274053","-111.196443699041","-111.358713251875","PowFit","PowFit","Terrestrial","2D","2D","Mechanistic"
"38","39895","-9.15062484616932","-2.8127557425972","-119.572482369473","-119.321396391678","CubFit","PowFit","Freshwater","3D","3D","Phenomenological"
"39","39896","-7.02508392720287","-0.287015659797979","-120.07613671274","-119.758370546021","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"40","39897","-6.34435084978669","-0.490906747021353","-121.880051944557","-121.641727319517","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"41","39898","-0.120165738005453","3.71710358707375","-142.048161062696","-141.730394895976","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"42","39899","4.77247010472581","-5.07403211280656","-128.760538612602","-128.442772445883","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"43","39900","3.58541819616396","-4.33977754132701","-132.57172912188","-132.253962955161","GenFit","GenFit","Freshwater","3D","3D","Mechanistic"
"44","39901","0.881222200352456","-6.89450910952477","-121.980073717289","-121.66230755057","QuaFit","QuaFit","Freshwater","3D","3D","Phenomenological"
"45","39902","-1.20993290428426","2.2370194518387","-113.741026677041","-113.502702052002","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"46","39903","-6.24222348070815","11.8465102677651","-110.773957472539","-110.5356328475","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"47","39904","0.0609675340713569","13.1105403157357","-128.68395681538","-128.366190648661","GenFit","GenFit","Freshwater","3D","3D","Mechanistic"
"48","39905","5.24279875750164","-0.889317179300025","-120.461438822405","-120.223114197365","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"49","39906","-1.88891482476496","-1.13251372541595","-130.222756637213","-129.984432012173","PowFit","PowFit","Freshwater","3D","3D","Mechanistic"
"50","39907","-21.0911621636227","4.04301070342438","-185.813129947064","-180.357917680273","CubFit","CubFit","Terrestrial","2D","2D","Phenomenological"
"51","39908","7.88288757122743","-6.02822123444548","-155.907815361845","-155.590049195125","GenFit","GenFit","Terrestrial","2D","2D","Mechanistic"
