"","ID.","Habitat","ResDimension","ConDimension","Model","AIC","BIC"
"96",39875,1,2,2,"CubFit",-73.5269158215161,-74.5681184753758
"97",39876,1,2,2,"PowFit",-68.2542378582255,-68.8789594505414
"98",39876,1,2,2,"QuaFit",-67.9084383653766,-68.7414004884644
"99",39876,1,2,2,"GenFit",-67.9915515519562,-68.824513675044
"100",39876,1,2,2,"CubFit",-67.6467724159729,-68.6879750698327
"101",39877,1,2,2,"PowFit",-51.7610174209112,-52.385739013227
"102",39877,1,2,2,"QuaFit",-72.4822951794826,-73.3152573025704
"103",39877,1,2,2,"GenFit",-49.7610174146876,-50.5939795377754
"104",39877,1,2,2,"CubFit",-73.7763694402564,-74.8175720941161
"105",39878,1,2,2,"PowFit",-101.217587553566,-101.842309145881
"106",39878,1,2,2,"QuaFit",-99.6455053571089,-100.478467480197
"107",39878,1,2,2,"GenFit",NA,NA
"108",39878,1,2,2,"CubFit",-97.6752669165006,-98.7164695703604
"109",39879,1,2,2,"PowFit",-95.9356418107944,-96.5603634031102
"110",39879,1,2,2,"QuaFit",-88.7863884691598,-89.6193505922476
"111",39879,1,2,2,"GenFit",-94.4980663579846,-95.3310284810724
"112",39879,1,2,2,"CubFit",-88.7645145131312,-89.8057171669909
"113",39880,1,2,2,"PowFit",-79.9809651145895,-80.6056867069054
"114",39880,1,2,2,"QuaFit",-76.0058749603711,-76.8388370834589
"115",39880,1,2,2,"GenFit",-78.0205145261921,-78.8534766492799
"116",39880,1,2,2,"CubFit",-75.1380939572383,-76.179296611098
"117",39881,1,2,2,"PowFit",-83.6676667836615,-84.2923883759773
"118",39881,1,2,2,"QuaFit",-79.554057413983,-80.3870195370708
"119",39881,1,2,2,"GenFit",NA,NA
"120",39881,1,2,2,"CubFit",-80.3272952593073,-81.3684979131671
"121",39882,1,2,2,"PowFit",-55.4729418397271,-56.097663432043
"122",39882,1,2,2,"QuaFit",-75.7139572729331,-76.5469193960209
"123",39882,1,2,2,"GenFit",-72.6025594110971,-73.4355215341849
"124",39882,1,2,2,"CubFit",-76.087854134142,-77.1290567880017
"125",39883,3,1,1,"PowFit",-846.26456000714,-840.528490990856
"126",39883,3,1,1,"QuaFit",-875.696012735725,-868.047920714012
"127",39883,3,1,1,"GenFit",-864.080750969176,-856.432658947464
"128",39883,3,1,1,"CubFit",-880.278870969078,-870.718755941937
"129",39885,3,1,1,"PowFit",-107.345447236829,-107.970168829145
"130",39885,3,1,1,"QuaFit",-104.204800765073,-105.037762888161
"131",39885,3,1,1,"GenFit",-106.3666811026,-107.199643225688
"132",39885,3,1,1,"CubFit",-107.050388564011,-108.091591217871
"133",39890,1,2,1,"PowFit",-89.8455805395857,-90.4703021319015
"134",39890,1,2,1,"QuaFit",-92.3112048069109,-93.1441669299986
"135",39890,1,2,1,"GenFit",NA,NA
"136",39890,1,2,1,"CubFit",-90.8258664466186,-91.8670691004783
"137",39891,1,2,1,"PowFit",-89.859600999418,-90.4843225917339
"138",39891,1,2,1,"QuaFit",-85.0598121946328,-85.8927743177206
"139",39891,1,2,1,"GenFit",NA,NA
"140",39891,1,2,1,"CubFit",-91.3697750873797,-92.4109777412394
"141",39892,3,1,1,"PowFit",-212.582966174556,-209.749649237057
"142",39892,3,1,1,"QuaFit",-278.462397104938,-274.684641188272
"143",39892,3,1,1,"GenFit",-210.582965095939,-206.805209179273
"144",39892,3,1,1,"CubFit",-284.668498697459,-279.946303801627
"145",39893,3,1,1,"PowFit",-274.796537494893,-272.125422221204
"146",39893,3,1,1,"QuaFit",-284.930128060856,-281.368641029271
"147",39893,3,1,1,"GenFit",NA,NA
"148",39893,3,1,1,"CubFit",-284.08897955153,-279.637120762049
"149",39894,3,1,1,"PowFit",-111.196443699041,-111.358713251875
"150",39894,3,1,1,"QuaFit",-100.8800642023,-101.096423606079
"151",39894,3,1,1,"GenFit",-70.8265564547588,-71.0429158585375
"152",39894,3,1,1,"CubFit",-106.166827644469,-106.437276899192
"153",39895,1,2,2,"PowFit",-119.559721016723,-119.321396391684
"154",39895,1,2,2,"QuaFit",-116.561084326241,-116.243318159521
"155",39895,1,2,2,"GenFit",-83.8989358108162,-83.5811696440969
"156",39895,1,2,2,"CubFit",-119.572482369473,-119.175274661074
"157",39896,1,2,2,"PowFit",-117.492012654556,-117.253688029517
"158",39896,1,2,2,"QuaFit",-120.07613671274,-119.758370546021
"159",39896,1,2,2,"GenFit",-119.468660031998,-119.150893865279
"160",39896,1,2,2,"CubFit",-118.19697205686,-117.799764348461
"161",39897,1,2,2,"PowFit",-121.880051944526,-121.641727319486
"162",39897,1,2,2,"QuaFit",-120.609193835047,-120.291427668328
"163",39897,1,2,2,"GenFit",-119.976230787344,-119.658464620624
"164",39897,1,2,2,"CubFit",-119.104516592957,-118.707308884558
"165",39898,1,2,2,"PowFit",-131.575538723517,-131.337214098477
"166",39898,1,2,2,"QuaFit",-142.048161062696,-141.730394895976
"167",39898,1,2,2,"GenFit",-141.912740538915,-141.594974372195
"168",39898,1,2,2,"CubFit",-140.952073030061,-140.554865321662
"169",39899,1,2,2,"PowFit",-119.996686216328,-119.758361591288
"170",39899,1,2,2,"QuaFit",-128.760538612602,-128.442772445883
"171",39899,1,2,2,"GenFit",NA,NA
"172",39899,1,2,2,"CubFit",-126.869045007045,-126.471837298646
"173",39900,1,2,2,"PowFit",-130.569741095436,-130.331416470396
"174",39900,1,2,2,"QuaFit",-129.251461850527,-128.933695683808
"175",39900,1,2,2,"GenFit",-132.571729121889,-132.25396295517
"176",39900,1,2,2,"CubFit",-131.843281854701,-131.446074146302
"177",39901,1,2,2,"PowFit",-106.634966783644,-106.396642158605
